image_name;distance
img_1596.jpg;4.88
img_1600.jpg;1.54
img_1601.jpg;3.68
img_1603.jpg;2.22
img_1605.jpg;3.73
img_1606.jpg;4.52
img_1607.jpg;5.4
img_1608.jpg;6.21
img_1612.jpg;7.12
img_1613.jpg;5.26
img_1615.jpg;2.26
img_1616.jpg;2.86
img_1618.jpg;1.6
img_1619.jpg;3.65
img_1620.jpg;1.52
img_1621.jpg;7.37
img_1623.jpg;5.56
img_1626.jpg;1.75
img_1627.jpg;1.36
img_1628.jpg;1.12
img_1631.jpg;2.18
img_1634.jpg;2.49
img_1635.jpg;3.11
img_1637.jpg;2.27
img_1640.jpg;2.72
img_1641.jpg;4.57
img_1643.jpg;5.49
img_1645.jpg;4.13
img_1647.jpg;2.42
img_1649.jpg;4.36
img_1650.jpg;4.69
img_1653.jpg;6.44
img_1656.jpg;2.98
img_1658.jpg;1.68
img_1662.jpg;4.16
img_1665.jpg;3.09
img_1666.jpg;2.43
img_1667.jpg;1.9
img_1672.jpg;4.96
img_1673.jpg;3.94
img_1674.jpg;3.36
img_1675.jpg;2.9
img_1676.jpg;2.32
img_1677.jpg;4.17
img_1680.jpg;5.88
img_1681.jpg;6.55
img_1684.jpg;3.83
img_1685.jpg;3.2
img_1686.jpg;3.02
img_1687.jpg;2.07
img_1688.jpg;3.18
img_1690.jpg;4.3
img_1691.jpg;5.04
img_1692.jpg;4.64
img_1696.jpg;2.0
img_1700.jpg;5.0
img_1707.jpg;5.88
img_1708.jpg;6.52
img_1709.jpg;7.17
img_1711.jpg;5.5
img_1712.jpg;4.45
img_1713.jpg;3.96
img_1714.jpg;3.03
img_1715.jpg;4.3
img_2672.heic;2.43
img_2673.heic;3.33
img_2675.heic;4.6
img_2676.heic;5.24
img_2678.heic;6.16
img_2680.heic;7.33
img_2681.heic;2.55
img_2682.heic;3.23
img_2683.heic;3.81
img_2685.heic;5.02
img_2687.heic;5.13
img_2688.heic;4.56
img_2690.heic;3.44
img_2691.heic;6.14
img_2694.heic;7.78
img_2695.heic;8.3
img_2696.heic;8.8
img_2699.heic;5.67
img_2700.heic;4.96
img_2701.heic;4.28
img_2705.heic;1.89
img_2709.heic;3.71
img_2710.heic;3.1
img_2714.heic;3.33
img_2721.heic;7.79
img_2722.heic;8.25
img_2723.heic;8.78
img_2724.heic;9.38
img_2726.heic;8.44
img_2727.heic;7.86
img_2729.heic;6.69
img_2730.heic;6.08
img_2733.heic;3.95
img_2734.heic;3.37
img_2735.heic;2.85
img_2737.heic;2.02
img_2738.heic;1.37
img_2740.heic;3.82
img_2743.heic;2.67
img_2744.heic;2.66
img_2745.heic;2.19
img_2746.heic;1.81
img_2747.heic;1.48
img_2748.heic;2.87
img_2749.heic;2.43
img_2751.heic;4.42
img_2754.heic;6.04
img_2756.heic;6.9
img_1818.jpg;2.74
img_1820.jpg;3.84
img_1822.jpg;5.01
img_1824.jpg;6.1
img_1827.jpg;5.55
img_1829.jpg;4.1
img_1831.jpg;3.64
img_1832.jpg;1.95
img_1834.jpg;3.01
img_1835.jpg;3.05
img_1837.jpg;4.08
img_1838.jpg;5.53
img_1841.jpg;1.06
img_1845.jpg;4.35
img_1847.jpg;6.35
img_1848.jpg;5.57
img_1850.jpg;4.19
img_1853.jpg;7.17
img_1854.jpg;3.89
img_1856.jpg;3.23
img_1857.jpg;2.68
img_1860.jpg;2.32
img_1861.jpg;3.0
img_1862.jpg;3.46
img_1863.jpg;3.95
img_1864.jpg;4.47
img_1865.jpg;3.52
img_1874.jpg;5.27
img_1878.jpg;8.41
img_1881.jpg;7.74
img_1882.jpg;6.68
img_1883.jpg;6.4
img_1885.jpg;4.1
img_1886.jpg;3.41
img_1887.jpg;2.84
img_1890.jpg;1.19
img_1893.jpg;4.37
img_1896.jpg;6.1
img_1899.jpg;5.13
img_1901.jpg;3.72
img_1902.jpg;3.16
img_1903.jpg;2.5
img_1907.jpg;7.07
img_1909.jpg;5.72
img_1910.jpg;4.99
img_1912.jpg;3.61
img_1916.jpg;4.7
img_1918.jpg;3.43
img_1921.jpg;1.89
img_1922.jpg;3.68
img_1924.jpg;4.85
img_1925.jpg;5.47
img_1926.jpg;6.05
img_1927.jpg;6.63
img_1929.jpg;3.98
img_1930.jpg;4.41
img_1932.jpg;2.69
img_1933.jpg;3.52
img_1937.jpg;6.21
img_1938.jpg;6.87
img_1939.jpg;7.47
img_1945.jpg;2.66
img_1948.jpg;3.91
img_1950.jpg;5.54
img_1951.jpg;6.13
img_1958.jpg;4.69
img_1959.jpg;3.79
img_1963.jpg;3.72
img_1964.jpg;4.26
img_1965.jpg;5.67
img_1966.jpg;6.31
img_1967.jpg;6.79
img_1968.jpg;7.43
img_1970.jpg;4.45
img_1971.jpg;3.84
img_1973.jpg;2.52
img_1976.jpg;1.53
img_1977.jpg;2.2
img_1979.jpg;3.46
img_1980.jpg;1.7
img_1983.jpg;3.63
img_1984.jpg;4.22
img_1985.jpg;4.86
img_1991.jpg;6.41
img_1992.jpg;5.73
img_1994.jpg;4.42
img_1996.jpg;3.11
img_2001.jpg;1.16
img_2002.jpg;2.11
img_2003.jpg;2.85
img_2005.jpg;3.85
img_2007.jpg;6.32
img_2008.jpg;5.27
img_2010.jpg;1.98
img_2012.jpg;3.5
img_2014.jpg;3.63
img_2016.jpg;5.69
img_2018.jpg;6.83
img_2021.jpg;2.12
img_2025.jpg;4.36
img_2026.jpg;4.91
img_2027.jpg;5.4
img_2030.jpg;7.06
img_2254.jpg;1.93
img_2255.jpg;1.57
img_2256.jpg;2.38
img_2260.jpg;4.84
img_2261.jpg;4.39
img_2264.jpg;1.43
img_2266.jpg;2.77
img_2268.jpg;2.96
img_2269.jpg;3.55
img_2270.jpg;3.91
img_2271.jpg;4.3
img_2272.jpg;4.79
img_2275.jpg;6.49
img_2277.jpg;7.7
img_2278.jpg;6.0
img_2280.jpg;3.94
img_2282.jpg;2.38
img_2285.jpg;4.33
img_2287.jpg;5.54
img_2289.jpg;7.55
img_2290.jpg;5.09
img_2291.jpg;4.39
img_2294.jpg;2.1
img_2295.jpg;1.64
img_2296.jpg;2.6
img_2297.jpg;3.15
img_2300.jpg;2.7
img_2301.jpg;2.14
img_2302.jpg;1.67
img_2304.jpg;2.1
img_2305.jpg;2.74
img_2306.jpg;3.24
img_2308.jpg;4.39
img_2309.jpg;5.02
img_2310.jpg;5.56
img_2313.jpg;4.15
img_2316.jpg;2.92
img_2319.jpg;2.33
img_2320.jpg;1.77
img_2321.jpg;1.32
img_2322.jpg;2.41
img_2327.jpg;5.4
img_2330.jpg;7.2
img_2331.jpg;7.92
img_2332.jpg;8.51
img_2333.jpg;9.06
img_2336.jpg;5.22
img_2341.jpg;8.03
img_2342.jpg;2.65
img_2344.jpg;3.71
img_2345.jpg;2.61
img_2347.jpg;1.58
img_2350.jpg;3.1
img_2352.jpg;2.53
img_2359.jpg;1.98
img_2361.jpg;3.45
img_2369.jpg;3.79
img_2372.jpg;1.61
img_2373.jpg;1.85
img_2374.jpg;1.34
img_2376.jpg;2.92
img_2378.jpg;4.11
img_2383.jpg;3.96
img_2384.jpg;3.27
img_2385.jpg;2.66
img_2390.jpg;1.25
img_2397.jpg;3.35
img_2398.jpg;3.93
img_2404.jpg;5.12
img_2405.jpg;4.35
img_2406.jpg;3.75
img_2408.jpg;2.81
img_2409.jpg;2.28
img_2410.jpg;1.83
img_2411.jpg;1.33
img_2418.jpg;4.09
img_2420.jpg;2.67
img_2422.jpg;4.02
img_2423.jpg;4.38
img_2426.jpg;2.12
img_2427.jpg;1.64
img_2429.jpg;2.67
img_2430.jpg;2.12
img_2432.jpg;1.34
img_2434.jpg;3.27
img_2436.jpg;4.42
img_2437.jpg;5.02
img_2440.jpg;6.67
img_2442.jpg;5.62
img_2443.jpg;4.59
img_2445.jpg;3.29
img_2449.jpg;1.2
img_2450.jpg;2.31
img_2451.jpg;2.87
img_2452.jpg;3.42
img_2453.jpg;4.01
img_2454.jpg;4.8
img_2455.jpg;5.5
img_2458.jpg;7.19
img_2459.jpg;5.49
img_2460.jpg;4.34
img_2462.jpg;2.84
img_2463.jpg;2.1
img_2468.jpg;4.06
img_2469.jpg;3.44
img_2470.jpg;2.87
img_2474.jpg;1.2
img_2476.jpg;2.89
img_2477.jpg;3.52
img_2480.jpg;3.93
img_2484.jpg;1.57
img_2485.jpg;2.78
img_2487.jpg;4.43
img_2490.jpg;5.15
img_2492.jpg;6.31
img_2494.jpg;7.39
img_2495.jpg;6.12
img_2502.jpg;4.41
img_2503.jpg;4.98
img_2504.jpg;5.46
img_2505.jpg;6.01
img_2507.jpg;5.38
img_2510.jpg;3.24
img_2511.jpg;3.6
img_2512.jpg;2.04
img_2514.jpg;2.5
img_2516.jpg;2.51
img_2519.jpg;2.54
img_2520.jpg;1.97
img_2527.jpg;4.96
img_2528.jpg;5.58
img_2533.jpg;3.27
img_2535.jpg;3.23
img_2536.jpg;2.6
img_2538.jpg;3.03
img_2539.jpg;3.53
img_2544.jpg;6.4
img_2547.jpg;4.63
img_2548.jpg;4.03
img_2549.jpg;3.37
img_2550.jpg;2.78
img_2553.jpg;3.35
img_2554.jpg;4.03
img_2561.jpg;6.26
img_2562.jpg;5.57
img_2563.jpg;4.88
img_2568.jpg;3.31
img_2570.jpg;2.07
img_2574.jpg;4.41
img_2575.jpg;5.03
img_2577.jpg;6.32
img_2578.jpg;6.87
img_2579.jpg;7.51
img_2581.jpg;8.74
img_2583.jpg;6.16
img_2584.jpg;2.8
img_2586.jpg;4.37
img_2588.jpg;5.56
img_2590.jpg;4.7
img_2593.jpg;2.55
img_2597.jpg;3.67
img_2600.jpg;5.36
img_2601.jpg;5.83
img_2604.jpg;4.41
img_2608.jpg;1.81
img_2613.jpg;4.07
img_2614.jpg;4.62
img_2615.jpg;5.15
img_2620.jpg;2.72
img_2621.jpg;2.11
img_2623.jpg;2.8
img_2624.jpg;2.24
img_2625.jpg;1.75
img_2627.jpg;3.49
img_2629.jpg;4.85
img_2630.jpg;5.39
img_2631.jpg;5.95
img_2634.jpg;7.52
img_2635.jpg;8.05
img_2636.jpg;8.48
img_2638.jpg;2.23
img_2639.jpg;2.81
img_2642.jpg;4.82
img_2643.jpg;5.24
img_2645.jpg;5.98
img_2646.jpg;4.67
img_2648.jpg;3.24
img_2650.jpg;2.47
img_2651.jpg;2.96
img_2654.jpg;4.58
img_2656.jpg;5.65
img_2657.jpg;6.16
img_2658.jpg;6.71
img_2659.jpg;7.29
img_2660.jpg;5.82
img_2664.jpg;3.12
img_2665.jpg;2.51
img_2666.jpg;1.93
img_2667.jpg;2.39
img_2669.jpg;3.5
img_2671.jpg;4.47
img_2672.jpg;5.02
img_2673.jpg;5.53
img_2674.jpg;5.97
img_2681.jpg;2.61
img_2682.jpg;2.04
img_2683.jpg;3.16
img_2684.jpg;3.79
img_2686.jpg;4.71
img_2688.jpg;5.56
img_2690.jpg;6.53
img_2691.jpg;7.05
img_2694.jpg;6.85
img_2704.jpg;2.1
img_2705.jpg;2.6
img_2706.jpg;3.05
img_2707.jpg;3.56
img_2708.jpg;4.01
img_2709.jpg;4.5
img_2712.jpg;5.79
img_2713.jpg;6.29
img_2716.jpg;4.39
img_2721.jpg;3.88
img_2723.jpg;4.9
img_2725.jpg;3.23
img_2728.jpg;1.84
img_2730.jpg;3.44
img_2732.jpg;4.54
img_2735.jpg;6.2
img_2737.jpg;7.24
img_2739.jpg;8.31
img_2741.jpg;6.94
img_2742.jpg;6.26
img_2743.jpg;5.58
img_2745.jpg;6.21
img_2747.jpg;4.94
img_2748.jpg;4.43
img_2750.jpg;3.68
img_2751.jpg;3.24
img_2755.jpg;1.67
img_2760.jpg;3.52
img_2763.jpg;5.01
img_2764.jpg;5.41
img_2765.jpg;5.79
img_2766.jpg;4.08
img_2767.jpg;3.43
img_2770.jpg;2.0
img_2774.jpg;4.16
img_2775.jpg;4.62
img_2779.jpg;6.41
img_2780.jpg;6.88
img_2783.jpg;5.07
img_2786.jpg;3.27
img_2787.jpg;2.32
img_2788.jpg;2.86
img_2789.jpg;3.41
img_2791.jpg;4.42
img_2792.jpg;5.0
img_2793.jpg;5.51
img_2794.jpg;5.96
img_2795.jpg;6.43
img_2796.jpg;6.9
img_2797.jpg;6.29
img_2799.jpg;4.94
img_2857.jpg;1.09
img_2858.jpg;0.85
img_2860.jpg;4.08
img_2861.jpg;3.54
img_2862.jpg;2.1
img_2863.jpg;2.65
img_2866.jpg;2.92
img_2867.jpg;3.44
img_2869.jpg;4.4
img_2870.jpg;4.91
img_2872.jpg;5.62
img_2874.jpg;6.38
img_2876.jpg;7.16
img_2879.jpg;2.39
img_2881.jpg;3.45
img_2882.jpg;4.01
img_2883.jpg;4.37
img_2885.jpg;4.7
img_2890.jpg;2.36
img_2891.jpg;2.73
img_2892.jpg;3.18
img_2894.jpg;4.01
img_2895.jpg;4.45
img_2896.jpg;4.98
img_2897.jpg;3.95
img_2899.jpg;2.82
img_2901.jpg;1.78
img_2902.jpg;1.33
img_2903.jpg;4.33
img_2904.jpg;2.9
img_2905.jpg;3.51
img_2908.jpg;4.61
img_2911.jpg;5.76
img_2912.jpg;6.19
img_2913.jpg;6.61
img_2915.jpg;4.73
img_2916.jpg;4.2
img_2918.jpg;2.91
img_2920.jpg;2.07
img_2927.jpg;4.5
img_2928.jpg;4.84
img_2930.jpg;3.05
img_2931.jpg;3.5
img_2932.jpg;3.87
img_2934.jpg;3.68
img_2937.jpg;2.05
img_2939.jpg;3.0
img_2940.jpg;3.46
img_2941.jpg;3.91
img_2944.jpg;5.2
img_2945.jpg;5.54
